timestamp,type,close,average20,average40,shares,amount
Thu Jun 02 2022 11:45,BUYZERO,3699,3693.6925,3685.6912500000008,1,-3699
Wed Jun 01 2022 10:00,SELL,3744.4,3748.37,3725.861250000001,0,45.40000000000009
Wed Jun 01 2022 09:30,BUYZERO,3798,3754.2349999999997,3730.31,1,-3752.6
Tue May 31 2022 09:15,SELL,3917,3919.04,3855.1187500000005,0,164.4000000000001
Mon May 30 2022 12:15,BUYZERO,3898.8,3895.1575000000003,3892.7475,1,-3734.4
Mon May 30 2022 12:00,SELL,3888.05,3892.265000000001,3894.9987499999997,0,153.6500000000001
Mon May 30 2022 10:00,SELLZERO,3883.65,3885.4275000000002,3901.4525000000003,-1,4037.3
Mon May 30 2022 09:45,BUY,3887.05,3886.3650000000002,3901.9224999999997,0,150.25
Mon May 30 2022 09:15,SELLZERO,3864.8,3887.2275,3901.9237499999995,-1,4015.05
Fri May 27 2022 10:15,BUY,3860.4,3836.7300000000005,3861.087499999999,0,154.6500000000001
Fri May 27 2022 10:00,SELLZERO,3832.95,3836.875,3859.9674999999997,-1,3987.6
Fri May 27 2022 09:45,BUY,3860,3838.1349999999998,3859.6475,0,127.59999999999991
Thu May 26 2022 14:30,SELLZERO,3841,3842.8075,3853.9199999999996,-1,3968.6
Thu May 26 2022 09:30,BUY,3787.65,3785.7399999999993,3814.2737499999994,0,180.94999999999982
Thu May 26 2022 09:15,SELLZERO,3780.5,3783.5149999999994,3812.8887499999996,-1,3961.45
Wed May 25 2022 15:15,BUY,3791.8,3783.1400000000003,3811.8087499999992,0,169.64999999999964
Wed May 25 2022 13:30,SELLZERO,3772.1,3779.415,3803.840000000001,-1,3941.7499999999995
Wed May 25 2022 13:00,BUY,3789.95,3780.425,3801.3225000000007,0,151.79999999999973
Wed May 25 2022 12:30,SELLZERO,3770.95,3782.2874999999995,3797.8350000000014,-1,3922.7499999999995
Wed May 25 2022 09:15,BUY,3789.5,3774.6875,3776.930000000001,0,133.24999999999955
Tue May 24 2022 12:30,BUYZERO,3797.75,3784.5924999999997,3783.8025000000002,1,-3664.5000000000005
Mon May 23 2022 15:15,SELL,3786.15,3806.7974999999997,3791.6950000000006,0,121.64999999999964
Mon May 23 2022 14:45,BUYZERO,3812.1,3806.7475000000004,3793.218749999999,1,-3690.4500000000003
Mon May 23 2022 13:00,SELL,3809.8,3812.2625,3800.62625,0,119.34999999999991
Mon May 23 2022 12:45,BUYZERO,3816.2,3812.5725000000007,3802.04375,1,-3696.85
Fri May 20 2022 15:15,SELL,3787.8,3826.085,3817.38125,0,90.95000000000027
Fri May 20 2022 13:30,SELLZERO,3783.25,3811.6674999999996,3813.131250000001,-1,3874.2000000000003
Fri May 20 2022 12:30,BUY,3815,3806.1424999999995,3811.5162500000006,0,59.20000000000027
Fri May 20 2022 12:00,SELLZERO,3796.35,3803.8075000000003,3810.3900000000003,-1,3855.55
Fri May 20 2022 11:45,BUY,3807,3801.9225000000006,3810.08125,0,48.55000000000018
